Student with hard logits approach
  Num examples: 9984, Num correct: 1332, Precision @ 1: 0.1334
Step 395: loss = 28.65321
Step 400: loss = 39.64650
Step 405: loss = 42.72748
Step 410: loss = 31.50228
Step 415: loss = 47.57864
Step 420: loss = 73.36623
Step 425: loss = 56.15648
Step 430: loss = 36.16908
Step 435: loss = 46.51036
Step 440: loss = 32.51315
Step 445: loss = 34.53075
Step 450: loss = 46.74801
Step 455: loss = 45.74486
Step 460: loss = 28.99910
Step 465: loss = 27.98344
Step 470: loss = 40.53749
Step 475: loss = 53.43488
Step 480: loss = 16.11207
Step 485: loss = 41.43840
Step 490: loss = 89.63218
Step 495: loss = 59.57890
Step 500: loss = 38.77666
Step 505: loss = 31.46894
Step 510: loss = 108.17165
Step 515: loss = 50.13518
Step 520: loss = 59.88344
Step 525: loss = 95.75402
Step 530: loss = 73.67459
Step 535: loss = 67.06143
Step 540: loss = 55.42772
Step 545: loss = 88.27448
Step 550: loss = 55.30783
Step 555: loss = 96.61111
Step 560: loss = 35.71188
Step 565: loss = 44.80671
Step 570: loss = 58.64645
Step 575: loss = 53.63885
Step 580: loss = 40.46746
Step 585: loss = 52.84900
Step 590: loss = 47.34003
Step 595: loss = 42.60621
Step 600: loss = 37.35610
Step 605: loss = 54.11513
Step 610: loss = 50.23615
Step 615: loss = 40.23040
Step 620: loss = 77.97105
Step 625: loss = 39.76394
Step 630: loss = 29.09574
Step 635: loss = 41.97163
Step 640: loss = 22.08125
Step 645: loss = 40.02063
Step 650: loss = 19.29667
Step 655: loss = 34.56172
Step 660: loss = 19.56730
Step 665: loss = 20.50549
Step 670: loss = 42.26189
Step 675: loss = 27.86535
Step 680: loss = 57.63145
Step 685: loss = 30.49162
Step 690: loss = 19.14738
Step 695: loss = 16.07240
Step 700: loss = 48.71903
Step 705: loss = 33.98843
Step 710: loss = 23.62891
Step 715: loss = 46.73859
Step 720: loss = 21.36059
Step 725: loss = 27.14472
Step 730: loss = 29.89813
Step 735: loss = 14.89170
Step 740: loss = 48.24193
Step 745: loss = 27.58879
Step 750: loss = 26.08228
Step 755: loss = 33.61076
Step 760: loss = 32.37096
Step 765: loss = 49.05125
Step 770: loss = 56.08479
Step 775: loss = 49.49622
Step 780: loss = 23.87313
Training Data Eval:
  Num examples: 49920, Num correct: 6263, Precision @ 1: 0.1255
('Testing Data Eval: EPOCH->', 3)
  Num examples: 9984, Num correct: 1319, Precision @ 1: 0.1321
Step 785: loss = 50.50221
Step 790: loss = 24.65799
Step 795: loss = 54.08764
Step 800: loss = 32.37668
Step 805: loss = 60.07415
Step 810: loss = 24.58624
Step 815: loss = 76.55119
Step 820: loss = 56.52602
Step 825: loss = 22.96594
Step 830: loss = 67.32568
Step 835: loss = 62.45235
Step 840: loss = 16.39008
Step 845: loss = 46.55906
Step 850: loss = 74.61617
Step 855: loss = 64.66137
Step 860: loss = 71.73933
Step 865: loss = 66.11658
Step 870: loss = 66.45713
Step 875: loss = 53.26892
Step 880: loss = 69.47623
Step 885: loss = 36.17570
Step 890: loss = 58.25406
Step 895: loss = 46.93081
Step 900: loss = 55.51490
Step 905: loss = 38.05208
Step 910: loss = 37.71139
Step 915: loss = 38.92324
Step 920: loss = 30.50353
Step 925: loss = 49.53472
Step 930: loss = 32.88728
Step 935: loss = 43.96332
Step 940: loss = 58.97977
Step 945: loss = 59.54841
Step 950: loss = 42.45305
Step 955: loss = 37.88275
Step 960: loss = 30.73650
Step 965: loss = 39.43759
Step 970: loss = 24.05522
Step 975: loss = 37.56890
Step 980: loss = 23.37905
Step 985: loss = 29.79992
Step 990: loss = 44.84411
Step 995: loss = 46.17143
Step 1000: loss = 72.44987
Step 1005: loss = 34.03090
Step 1010: loss = 59.38754
Step 1015: loss = 43.10626
Step 1020: loss = 34.92591
Step 1025: loss = 27.34633
Step 1030: loss = 38.58826
Step 1035: loss = 42.38606
Step 1040: loss = 49.58542
Step 1045: loss = 41.55180
Step 1050: loss = 46.13280
Step 1055: loss = 35.01080
Step 1060: loss = 36.67384
Step 1065: loss = 34.07986
Step 1070: loss = 44.13882
Step 1075: loss = 35.96399
Step 1080: loss = 29.10160
Step 1085: loss = 37.65138
Step 1090: loss = 43.99809
Step 1095: loss = 38.69853
Step 1100: loss = 47.65913
Step 1105: loss = 46.61514
Step 1110: loss = 22.67623
Step 1115: loss = 33.09125
Step 1120: loss = 60.17638
Step 1125: loss = 46.65863
Step 1130: loss = 44.48934
Step 1135: loss = 40.81542
Step 1140: loss = 27.29369
Step 1145: loss = 38.06368
Step 1150: loss = 33.09699
Step 1155: loss = 21.39645
Step 1160: loss = 19.01924
Step 1165: loss = 21.15296
Step 1170: loss = 29.58781
Training Data Eval:
  Num examples: 49920, Num correct: 6503, Precision @ 1: 0.1303
('Testing Data Eval: EPOCH->', 4)
  Num examples: 9984, Num correct: 1297, Precision @ 1: 0.1299
Step 1175: loss = 36.23017
Step 1180: loss = 34.73942
Step 1185: loss = 26.29322
Step 1190: loss = 38.33123
Step 1195: loss = 45.84697
Step 1200: loss = 39.91127
Step 1205: loss = 20.88793
Step 1210: loss = 23.89884
Step 1215: loss = 17.41825
Step 1220: loss = 37.68512
Step 1225: loss = 17.38166
Step 1230: loss = 19.46019
Step 1235: loss = 16.17068
Step 1240: loss = 42.05904
Step 1245: loss = 27.51432
Step 1250: loss = 29.22765
Step 1255: loss = 51.14112
Step 1260: loss = 30.89880
Step 1265: loss = 34.64019
Step 1270: loss = 24.94112
Step 1275: loss = 29.97147
Step 1280: loss = 29.94562
Step 1285: loss = 47.04813
Step 1290: loss = 31.65121
Step 1295: loss = 31.32722
Step 1300: loss = 41.32335
Step 1305: loss = 46.67266
Step 1310: loss = 17.24761
Step 1315: loss = 35.18333
Step 1320: loss = 32.53228
Step 1325: loss = 16.20224
Step 1330: loss = 45.68263
Step 1335: loss = 41.70358
Step 1340: loss = 24.56521
Step 1345: loss = 31.84489
Step 1350: loss = 25.02844
Step 1355: loss = 31.05089
Step 1360: loss = 36.45701
Step 1365: loss = 30.53888
Step 1370: loss = 35.01055
Step 1375: loss = 25.11257
Step 1380: loss = 32.28613
Step 1385: loss = 39.33311
Step 1390: loss = 48.31067
Step 1395: loss = 34.21846
Step 1400: loss = 34.49508
Step 1405: loss = 24.85647
Step 1410: loss = 27.62943
Step 1415: loss = 12.36679
Step 1420: loss = 20.97315
Step 1425: loss = 20.45334
Step 1430: loss = 20.01932
Step 1435: loss = 33.39169
Step 1440: loss = 21.14682
Step 1445: loss = 9.62234
Step 1450: loss = 12.66241
Step 1455: loss = 14.16041
Step 1460: loss = 16.35905
Step 1465: loss = 18.92769
Step 1470: loss = 14.11831
Step 1475: loss = 33.11562
Step 1480: loss = 28.07090
Step 1485: loss = 21.44795
Step 1490: loss = 29.02707
Step 1495: loss = 15.64118
Step 1500: loss = 28.12663
Step 1505: loss = 15.44067
Step 1510: loss = 16.68773
Step 1515: loss = 25.92066
Step 1520: loss = 25.43469
Step 1525: loss = 26.59443
Step 1530: loss = 34.76057
Step 1535: loss = 32.91816
Step 1540: loss = 39.42513
Step 1545: loss = 40.15745
Step 1550: loss = 26.09949
Step 1555: loss = 45.19022
Step 1560: loss = 42.57790
Training Data Eval:
  Num examples: 49920, Num correct: 6363, Precision @ 1: 0.1275
('Testing Data Eval: EPOCH->', 5)
  Num examples: 9984, Num correct: 1302, Precision @ 1: 0.1304
Step 1565: loss = 43.32090
Step 1570: loss = 42.24681
Step 1575: loss = 33.99936
Step 1580: loss = 35.92886
Step 1585: loss = 52.49275
Step 1590: loss = 33.02967
Step 1595: loss = 19.67316
Step 1600: loss = 22.12840
Step 1605: loss = 18.70569
Step 1610: loss = 30.29063
Step 1615: loss = 43.18364
Step 1620: loss = 47.27527
Step 1625: loss = 38.04424
Step 1630: loss = 26.51757
Step 1635: loss = 19.27776
Step 1640: loss = 30.00112
Step 1645: loss = 36.96395
Step 1650: loss = 14.35063
Step 1655: loss = 26.86405
Step 1660: loss = 18.63602
Step 1665: loss = 13.62888
Step 1670: loss = 26.02675
Step 1675: loss = 11.69936
Step 1680: loss = 17.12020
Step 1685: loss = 29.28398
Step 1690: loss = 30.33722
Step 1695: loss = 28.39571
Step 1700: loss = 15.02218
Step 1705: loss = 24.54094
Step 1710: loss = 12.78553
Step 1715: loss = 26.81160
Step 1720: loss = 24.56416
Step 1725: loss = 24.83778
Step 1730: loss = 44.94468
Step 1735: loss = 21.66193
Step 1740: loss = 40.06211
Step 1745: loss = 23.70251
Step 1750: loss = 16.13372
Step 1755: loss = 13.40054
Step 1760: loss = 45.47876
Step 1765: loss = 22.18678
Step 1770: loss = 23.87046
Step 1775: loss = 31.25670
Step 1780: loss = 19.84074
Step 1785: loss = 28.38044
Step 1790: loss = 27.05656
Step 1795: loss = 9.19457
Step 1800: loss = 16.72521
Step 1805: loss = 21.55302
Step 1810: loss = 22.25953
Step 1815: loss = 14.60781
Step 1820: loss = 18.79300
Step 1825: loss = 13.03215
Step 1830: loss = 17.16309
Step 1835: loss = 18.76236
Step 1840: loss = 25.27240
Step 1845: loss = 33.48983
Step 1850: loss = 40.03962
Step 1855: loss = 15.56876
Step 1860: loss = 37.63712
Step 1865: loss = 20.20266
Step 1870: loss = 10.31231
Step 1875: loss = 22.92439
Step 1880: loss = 14.69749
Step 1885: loss = 16.53826
Step 1890: loss = 17.84248
Step 1895: loss = 11.08976
Step 1900: loss = 11.91858
Step 1905: loss = 15.64215
Step 1910: loss = 15.22341
Step 1915: loss = 14.16177
Step 1920: loss = 9.64892
Step 1925: loss = 15.88312
Step 1930: loss = 11.13613
Step 1935: loss = 24.99245
Step 1940: loss = 23.93537
Step 1945: loss = 12.77201
Step 1950: loss = 15.81834
Training Data Eval:
  Num examples: 49920, Num correct: 6279, Precision @ 1: 0.1258
('Testing Data Eval: EPOCH->', 6)
  Num examples: 9984, Num correct: 1332, Precision @ 1: 0.1334
Step 1955: loss = 19.95337
Step 1960: loss = 21.89075
Step 1965: loss = 33.54426
Step 1970: loss = 31.88312
Step 1975: loss = 24.00032
Step 1980: loss = 17.25450
Step 1985: loss = 24.91193
Step 1990: loss = 29.77312
Step 1995: loss = 19.20500
Step 2000: loss = 15.63142
Step 2005: loss = 23.95482
Step 2010: loss = 6.85501
Step 2015: loss = 19.72053
Step 2020: loss = 15.86065
Step 2025: loss = 22.40676
Step 2030: loss = 17.46393
Step 2035: loss = 22.17302
Step 2040: loss = 47.96539
Step 2045: loss = 52.01793
Step 2050: loss = 47.39706
Step 2055: loss = 65.52920
Step 2060: loss = 63.10281
Step 2065: loss = 41.43974
Step 2070: loss = 47.77251
Step 2075: loss = 51.93117
Step 2080: loss = 75.33939
Step 2085: loss = 54.28411
Step 2090: loss = 50.11449
Step 2095: loss = 70.88837
Step 2100: loss = 78.88583
Step 2105: loss = 65.08884
Step 2110: loss = 53.58138
Step 2115: loss = 68.31491
Step 2120: loss = 31.24569
Step 2125: loss = 68.50465
Step 2130: loss = 34.97103
Step 2135: loss = 39.33710
Step 2140: loss = 63.90366
Step 2145: loss = 27.51480
Step 2150: loss = 36.51559
Step 2155: loss = 74.77671
Step 2160: loss = 20.01420
Step 2165: loss = 69.03373
Step 2170: loss = 63.23409
Step 2175: loss = 35.09237
Step 2180: loss = 53.61556
Step 2185: loss = 23.09377
Step 2190: loss = 48.17739
Step 2195: loss = 16.62496
Step 2200: loss = 51.00446
Step 2205: loss = 30.98666
Step 2210: loss = 45.59286
Step 2215: loss = 24.19928
Step 2220: loss = 50.46751
Step 2225: loss = 60.20148
Step 2230: loss = 41.03636
Step 2235: loss = 73.32841
Step 2240: loss = 27.40027
Step 2245: loss = 46.92951
Step 2250: loss = 51.11411
Step 2255: loss = 59.25276
Step 2260: loss = 77.78758
Step 2265: loss = 50.59604
Step 2270: loss = 19.24473
Step 2275: loss = 35.70483
Step 2280: loss = 23.33014
Step 2285: loss = 33.86733
Step 2290: loss = 54.89051
Step 2295: loss = 25.79681
Step 2300: loss = 34.72719
Step 2305: loss = 44.61013
Step 2310: loss = 64.97352
Step 2315: loss = 41.69986
Step 2320: loss = 90.49295
Step 2325: loss = 61.55128
Step 2330: loss = 49.04749
Step 2335: loss = 54.75756
Step 2340: loss = 48.52657
Training Data Eval:
  Num examples: 49920, Num correct: 6374, Precision @ 1: 0.1277
('Testing Data Eval: EPOCH->', 7)
  Num examples: 9984, Num correct: 1225, Precision @ 1: 0.1227
Step 2345: loss = 84.41293
Step 2350: loss = 41.76971
Step 2355: loss = 30.46165
Step 2360: loss = 75.98466
Step 2365: loss = 38.36076
Step 2370: loss = 40.17739
Step 2375: loss = 39.88638
Step 2380: loss = 26.29007
Step 2385: loss = 47.30085
Step 2390: loss = 68.17799
Step 2395: loss = 34.38701
Step 2400: loss = 27.85191
Step 2405: loss = 48.53897
Step 2410: loss = 49.32388
Step 2415: loss = 47.07749
Step 2420: loss = 26.64928
Step 2425: loss = 45.77116
Step 2430: loss = 52.42339
Step 2435: loss = 40.78737
Step 2440: loss = 25.65844
Step 2445: loss = 45.94466
Step 2450: loss = 28.46242
Step 2455: loss = 18.29848
Step 2460: loss = 36.13197
Step 2465: loss = 56.63062
Step 2470: loss = 31.42032
Step 2475: loss = 36.98106
Step 2480: loss = 20.82155
Step 2485: loss = 41.80055
Step 2490: loss = 30.29170
Step 2495: loss = 25.30928
Step 2500: loss = 41.10258
Step 2505: loss = 40.99775
Step 2510: loss = 27.63288
Step 2515: loss = 20.48575
Step 2520: loss = 25.70168
Step 2525: loss = 22.10170
Step 2530: loss = 21.56630
Step 2535: loss = 38.95724
Step 2540: loss = 6.24740
Step 2545: loss = 41.11502
Step 2550: loss = 22.66144
Step 2555: loss = 27.88654
Step 2560: loss = 32.27619
Step 2565: loss = 51.27228
Step 2570: loss = 14.82230
Step 2575: loss = 20.32266
Step 2580: loss = 29.82503
Step 2585: loss = 23.94080
Step 2590: loss = 34.53321
Step 2595: loss = 43.52895
Step 2600: loss = 53.16689
Step 2605: loss = 25.54744
Step 2610: loss = 70.55025
Step 2615: loss = 53.58002
Step 2620: loss = 78.90386
Step 2625: loss = 31.91864
Step 2630: loss = 47.82786
Step 2635: loss = 36.64291
Step 2640: loss = 41.57712
Step 2645: loss = 46.54624
Step 2650: loss = 57.45174
Step 2655: loss = 32.20560
Step 2660: loss = 2.63825
Step 2665: loss = 25.69331
Step 2670: loss = 54.05046
Step 2675: loss = 59.92364
Step 2680: loss = 52.18315
Step 2685: loss = 62.00164
Step 2690: loss = 32.32793
Step 2695: loss = 11.32635
Step 2700: loss = 44.91511
Step 2705: loss = 32.22573
Step 2710: loss = 24.23965
Step 2715: loss = 32.98282
Step 2720: loss = 16.91452
Step 2725: loss = 36.27591
Step 2730: loss = 27.82957
Training Data Eval:
  Num examples: 49920, Num correct: 6517, Precision @ 1: 0.1305
('Testing Data Eval: EPOCH->', 8)
  Num examples: 9984, Num correct: 1274, Precision @ 1: 0.1276
Step 2735: loss = 53.19090
Step 2740: loss = 25.94417
Step 2745: loss = 36.54250
Step 2750: loss = 61.18106
Step 2755: loss = 84.88232
Step 2760: loss = 60.41709
Step 2765: loss = 64.42577
Step 2770: loss = 58.15969
Step 2775: loss = 71.57386
Step 2780: loss = 65.87565
Step 2785: loss = 65.33570
Step 2790: loss = 59.94674
Step 2795: loss = 46.00669
Step 2800: loss = 57.49128
Step 2805: loss = 35.43428
Step 2810: loss = 37.23413
Step 2815: loss = 45.84163
Step 2820: loss = 65.74737
Step 2825: loss = 41.44915
Step 2830: loss = 50.51569
Step 2835: loss = 60.02871
Step 2840: loss = 44.15376
Step 2845: loss = 43.12508
Step 2850: loss = 78.68739
Step 2855: loss = 75.20329
Step 2860: loss = 60.31716
Step 2865: loss = 86.20904
Step 2870: loss = 55.86227
Step 2875: loss = 46.54472
Step 2880: loss = 79.99054
Step 2885: loss = 83.47334
Step 2890: loss = 98.60843
Step 2895: loss = 64.72201
Step 2900: loss = 35.64528
Step 2905: loss = 38.99757
Step 2910: loss = 65.43327
Step 2915: loss = 45.75086
Step 2920: loss = 53.77357
Step 2925: loss = 62.64467
Step 2930: loss = 28.34521
Step 2935: loss = 26.91327
Step 2940: loss = 41.83764
Step 2945: loss = 30.47382
Step 2950: loss = 35.82722
Step 2955: loss = 21.55661
Step 2960: loss = 14.29283
Step 2965: loss = 27.05683
Step 2970: loss = 41.86339
Step 2975: loss = 16.36654
Step 2980: loss = 49.88318
Step 2985: loss = 30.10016
Step 2990: loss = 35.55826
Step 2995: loss = 35.25357
Step 3000: loss = 22.65553
Step 3005: loss = 11.85450
Step 3010: loss = 40.47249
Step 3015: loss = 38.04871
Step 3020: loss = 41.62123
Step 3025: loss = 30.56163
Step 3030: loss = 34.00964
Step 3035: loss = 56.45803
Step 3040: loss = 51.61200
Step 3045: loss = 47.21285
Step 3050: loss = 55.54901
Step 3055: loss = 46.57266
Step 3060: loss = 41.91589
Step 3065: loss = 49.94293
Step 3070: loss = 45.82634
Step 3075: loss = 41.42991
Step 3080: loss = 46.28736
Step 3085: loss = 22.20479
Step 3090: loss = 45.33947
Step 3095: loss = 38.55621
Step 3100: loss = 17.60651
Step 3105: loss = 33.57973
Step 3110: loss = 17.26181
Step 3115: loss = 44.31817
Step 3120: loss = 23.39230
Training Data Eval:
  Num examples: 49920, Num correct: 7004, Precision @ 1: 0.1403
('Testing Data Eval: EPOCH->', 9)
  Num examples: 9984, Num correct: 1310, Precision @ 1: 0.1312
Step 3125: loss = 31.64154
Step 3130: loss = 43.46692
Step 3135: loss = 18.61153
Step 3140: loss = 28.31913
Step 3145: loss = 40.11474
Step 3150: loss = 19.63473
Step 3155: loss = 31.51505
Step 3160: loss = 13.21667
Step 3165: loss = 29.02518
Step 3170: loss = 36.94032
Step 3175: loss = 31.68940
Step 3180: loss = 24.65830
Step 3185: loss = 30.38933
Step 3190: loss = 15.60344
Step 3195: loss = 40.10339
Step 3200: loss = 13.20343
Step 3205: loss = 29.24682
Step 3210: loss = 29.22537
Step 3215: loss = 25.81287
Step 3220: loss = 15.79954
Step 3225: loss = 24.95113
Step 3230: loss = 27.08998
Step 3235: loss = 28.75099
Step 3240: loss = 33.01578
Step 3245: loss = 31.04283
Step 3250: loss = 40.09390
Step 3255: loss = 28.72903
Step 3260: loss = 39.62320
Step 3265: loss = 20.44727
Step 3270: loss = 31.80823
Step 3275: loss = 26.09885
Step 3280: loss = 38.25140
Step 3285: loss = 26.73680
Step 3290: loss = 17.41936
Step 3295: loss = 25.72745
Step 3300: loss = 16.24412
Step 3305: loss = 30.19989
Step 3310: loss = 20.31489
Step 3315: loss = 28.72150
Step 3320: loss = 21.14500
Step 3325: loss = 16.61017
Step 3330: loss = 16.67482
Step 3335: loss = 17.44221
Step 3340: loss = 18.31211
Step 3345: loss = 20.59147
Step 3350: loss = 20.12807
Step 3355: loss = 13.51345
Step 3360: loss = 20.94431
Step 3365: loss = 24.78758
Step 3370: loss = 16.38040
Step 3375: loss = 16.10907
Step 3380: loss = 26.17831
Step 3385: loss = 22.33840
Step 3390: loss = 2.98658
Step 3395: loss = 27.21872
Step 3400: loss = 22.20135
Step 3405: loss = 30.07091
Step 3410: loss = 39.15386
Step 3415: loss = 17.26915
Step 3420: loss = 34.59091
Step 3425: loss = 32.73867
Step 3430: loss = 15.79154
Step 3435: loss = 25.21421
Step 3440: loss = 29.68437
Step 3445: loss = 24.03754
Step 3450: loss = 13.78239
Step 3455: loss = 22.88033
Step 3460: loss = 22.95475
Step 3465: loss = 15.73322
Step 3470: loss = 17.68832
Step 3475: loss = 15.64769
Step 3480: loss = 23.38639
Step 3485: loss = 11.98510
Step 3490: loss = 7.22393
Step 3495: loss = 12.95481
Step 3500: loss = 29.68217
Step 3505: loss = 9.57273
Step 3510: loss = 31.40142
Training Data Eval:
  Num examples: 49920, Num correct: 5884, Precision @ 1: 0.1179
('Testing Data Eval: EPOCH->', 10)
  Num examples: 9984, Num correct: 1150, Precision @ 1: 0.1152
Step 3515: loss = 28.17923
Step 3520: loss = 49.87728
Step 3525: loss = 25.65999
Step 3530: loss = 23.85813
Step 3535: loss = 50.87659
Step 3540: loss = 47.11756
Step 3545: loss = 76.41998
Step 3550: loss = 46.15954
Step 3555: loss = 54.13641
Step 3560: loss = 56.71788
Step 3565: loss = 37.22537
Step 3570: loss = 97.64362
Step 3575: loss = 77.82525
Step 3580: loss = 36.22185
Step 3585: loss = 74.44315
Step 3590: loss = 84.87624
Step 3595: loss = 80.15092
Step 3600: loss = 65.65607
Step 3605: loss = 51.67162
Step 3610: loss = 40.94045
Step 3615: loss = 59.54260
Step 3620: loss = 35.25272
Step 3625: loss = 69.31408
Step 3630: loss = 60.61186
Step 3635: loss = 52.49319
Step 3640: loss = 64.37029
Step 3645: loss = 74.83583
Step 3650: loss = 68.04945
Step 3655: loss = 67.05573
Step 3660: loss = 12.63375
Step 3665: loss = 61.42995
Step 3670: loss = 50.22273
Step 3675: loss = 63.96847
Step 3680: loss = 82.18729
Step 3685: loss = 66.03003
Step 3690: loss = 38.93697
Step 3695: loss = 34.14926
Step 3700: loss = 35.18389
Step 3705: loss = 42.92456
Step 3710: loss = 39.43303
Step 3715: loss = 43.16132
Step 3720: loss = 17.09701
Step 3725: loss = 47.81708
Step 3730: loss = 26.51337
Step 3735: loss = 56.53691
Step 3740: loss = 59.67785
Step 3745: loss = 46.94726
Step 3750: loss = 47.28488
Step 3755: loss = 41.01574
Step 3760: loss = 61.28762
Step 3765: loss = 31.00832
Step 3770: loss = 50.06927
Step 3775: loss = 55.69085
Step 3780: loss = 29.43280
Step 3785: loss = 52.33273
Step 3790: loss = 41.78078
Step 3795: loss = 23.14123
Step 3800: loss = 21.67468
Step 3805: loss = 53.21944
Step 3810: loss = 45.27561
Step 3815: loss = 30.28169
Step 3820: loss = 30.36456
Step 3825: loss = 33.19985
Step 3830: loss = 47.26082
Step 3835: loss = 16.64858
Step 3840: loss = 40.15720
Step 3845: loss = 43.47759
Step 3850: loss = 20.89666
Step 3855: loss = 27.01389
Step 3860: loss = 18.55840
Step 3865: loss = 16.60184
Step 3870: loss = 13.57537
Step 3875: loss = 18.79541
Step 3880: loss = 18.42563
Step 3885: loss = 8.77147
Step 3890: loss = 18.00813
Step 3895: loss = 22.77146
Step 3900: loss = 17.35041
Training Data Eval:
  Num examples: 49920, Num correct: 6175, Precision @ 1: 0.1237
('Testing Data Eval: EPOCH->', 11)
  Num examples: 9984, Num correct: 1262, Precision @ 1: 0.1264
Step 3905: loss = 34.55318
Step 3910: loss = 16.60194
Step 3915: loss = 14.51319
Step 3920: loss = 15.63780
Step 3925: loss = 22.78107
Step 3930: loss = 12.51409
Step 3935: loss = 13.78662
Step 3940: loss = 18.05305
Step 3945: loss = 10.57091
Step 3950: loss = 7.38964
Step 3955: loss = 5.02744
Step 3960: loss = 12.23465
Step 3965: loss = 15.44238
Step 3970: loss = 3.09075
Step 3975: loss = 10.22946
Step 3980: loss = 9.80269
Step 3985: loss = 11.50295
Step 3990: loss = 14.60378
Step 3995: loss = 13.39747
Step 4000: loss = 14.42059
Step 4005: loss = 8.98615
Step 4010: loss = 10.60127
Step 4015: loss = 23.71670
Step 4020: loss = 25.63540
Step 4025: loss = 23.17669
Step 4030: loss = 25.90907
Step 4035: loss = 26.89293
Step 4040: loss = 34.52402
Step 4045: loss = 22.16539
Step 4050: loss = 39.27471
Step 4055: loss = 5.92775
Step 4060: loss = 27.97818
Step 4065: loss = 43.60207
Step 4070: loss = 28.76093
Step 4075: loss = 7.17516
Step 4080: loss = 28.45081
Step 4085: loss = 40.22755
Step 4090: loss = 15.59713
Step 4095: loss = 29.63468
Step 4100: loss = 33.42686
Step 4105: loss = 23.57361
Step 4110: loss = 28.91243
Step 4115: loss = 48.24710
Step 4120: loss = 7.91068
Step 4125: loss = 34.00206
Step 4130: loss = 21.47582
Step 4135: loss = 18.16452
Step 4140: loss = 22.88570
Step 4145: loss = 14.50400
Step 4150: loss = 14.29653
Step 4155: loss = 19.91893
Step 4160: loss = 24.55329
Step 4165: loss = 22.98712
Step 4170: loss = 9.48800
Step 4175: loss = 29.34353
Step 4180: loss = 26.50951
Step 4185: loss = 20.49386
Step 4190: loss = 27.87568
Step 4195: loss = 17.59525
Step 4200: loss = 18.84934
Step 4205: loss = 10.84628
Step 4210: loss = 17.37219
Step 4215: loss = 33.55840
Step 4220: loss = 16.25200
Step 4225: loss = 25.83327
Step 4230: loss = 18.96595
Step 4235: loss = 15.02012
Step 4240: loss = 12.49180
Step 4245: loss = 28.17785
Step 4250: loss = 9.95332
Step 4255: loss = 26.33058
Step 4260: loss = 10.96565
Step 4265: loss = 22.34387
Step 4270: loss = 9.97293
Step 4275: loss = 5.11413
Step 4280: loss = 17.43293
Step 4285: loss = 6.81752
Step 4290: loss = 14.93478
Training Data Eval:
  Num examples: 49920, Num correct: 6362, Precision @ 1: 0.1274
('Testing Data Eval: EPOCH->', 12)
  Num examples: 9984, Num correct: 1229, Precision @ 1: 0.1231
Step 4295: loss = 15.28074
Step 4300: loss = 15.04678
Step 4305: loss = 14.23372
Step 4310: loss = 10.65045
Step 4315: loss = 5.57846
Step 4320: loss = 12.55636
Step 4325: loss = 12.85256
Step 4330: loss = 4.72097
Step 4335: loss = 7.14172
