Student with multiple layers approach
Step 2165: loss = 1.69449
Step 2170: loss = 1.46799
Step 2175: loss = 1.64529
Step 2180: loss = 1.36679
Step 2185: loss = 1.50957
Step 2190: loss = 1.63042
Step 2195: loss = 2.46859
Step 2200: loss = 1.45015
Step 2205: loss = 1.61352
Step 2210: loss = 1.62450
Step 2215: loss = 1.61432
Step 2220: loss = 1.57555
Step 2225: loss = 2.07782
Step 2230: loss = 1.57460
Step 2235: loss = 1.70443
Step 2240: loss = 1.42216
Step 2245: loss = 1.95039
Step 2250: loss = 1.71967
Step 2255: loss = 1.85174
Step 2260: loss = 1.42353
Step 2265: loss = 1.60880
Step 2270: loss = 1.54970
Step 2275: loss = 1.67583
Step 2280: loss = 1.68545
Step 2285: loss = 1.88716
Step 2290: loss = 1.41767
Step 2295: loss = 1.97415
Step 2300: loss = 1.57786
Step 2305: loss = 1.51995
Step 2310: loss = 1.60760
Step 2315: loss = 1.63557
Step 2320: loss = 1.92039
Step 2325: loss = 2.15425
Step 2330: loss = 1.88480
Step 2335: loss = 1.53250
Step 2340: loss = 1.61707
Step 2345: loss = 1.53444
Step 2350: loss = 1.70834
Step 2355: loss = 1.50714
Step 2360: loss = 2.02730
Step 2365: loss = 1.59765
Step 2370: loss = 1.39803
Step 2375: loss = 2.45418
Step 2380: loss = 1.72183
Step 2385: loss = 1.29770
Step 2390: loss = 1.49885
Step 2395: loss = 1.75923
Step 2400: loss = 1.72938
Step 2405: loss = 1.48998
Step 2410: loss = 1.98350
Step 2415: loss = 1.79588
Step 2420: loss = 1.50011
Step 2425: loss = 2.11711
Step 2430: loss = 1.67065
Step 2435: loss = 1.55119
Step 2440: loss = 1.63725
Step 2445: loss = 1.56001
Step 2450: loss = 1.65413
Step 2455: loss = 1.49460
Step 2460: loss = 1.73842
Step 2465: loss = 1.66584
Step 2470: loss = 1.66310
Step 2475: loss = 1.54610
Step 2480: loss = 1.56501
Step 2485: loss = 1.56983
Step 2490: loss = 1.45569
Step 2495: loss = 1.65590
Step 2500: loss = 1.67820
Step 2505: loss = 1.43030
Step 2510: loss = 1.75428
Step 2515: loss = 1.62139
Step 2520: loss = 1.68695
Step 2525: loss = 1.45594
Step 2530: loss = 1.50755
Step 2535: loss = 2.35546
Step 2540: loss = 1.87608
Step 2545: loss = 1.95341
Step 2550: loss = 1.50757
Step 2555: loss = 1.38235
Step 2560: loss = 1.64013
Step 2565: loss = 1.40427
Step 2570: loss = 1.50428
Step 2575: loss = 2.03817
Step 2580: loss = 1.44723
Step 2585: loss = 1.73750
Step 2590: loss = 1.59685
Step 2595: loss = 1.43017
Step 2600: loss = 1.65505
Step 2605: loss = 1.40278
Step 2610: loss = 1.71531
Step 2615: loss = 1.69590
Step 2620: loss = 1.65012
Step 2625: loss = 1.67634
Step 2630: loss = 1.45108
Step 2635: loss = 1.82423
Step 2640: loss = 1.66710
Step 2645: loss = 1.23749
Step 2650: loss = 1.62536
Step 2655: loss = 1.44316
Step 2660: loss = 1.31203
Step 2665: loss = 1.44512
Step 2670: loss = 1.72404
Step 2675: loss = 1.65269
Step 2680: loss = 2.07978
Step 2685: loss = 1.57254
Step 2690: loss = 1.73424
Step 2695: loss = 2.36995
Step 2700: loss = 1.60240
Step 2705: loss = 1.32700
Step 2710: loss = 1.41943
Step 2715: loss = 1.49358
Step 2720: loss = 1.51158
Step 2725: loss = 1.60307
Step 2730: loss = 1.57891
Step 2735: loss = 1.27892
Step 2740: loss = 1.92043
Step 2745: loss = 1.61539
Step 2750: loss = 1.50177
Step 2755: loss = 1.71695
Step 2760: loss = 1.47915
Step 2765: loss = 1.54470
Step 2770: loss = 1.67776
Step 2775: loss = 2.01442
Step 2780: loss = 1.55932
Step 2785: loss = 1.63201
Step 2790: loss = 1.58870
Step 2795: loss = 1.64858
Step 2800: loss = 1.74179
Step 2805: loss = 1.53650
Step 2810: loss = 1.52764
Step 2815: loss = 1.51562
Step 2820: loss = 1.67558
Step 2825: loss = 1.51916
Step 2830: loss = 1.74273
Step 2835: loss = 1.60778
Step 2840: loss = 1.41830
Step 2845: loss = 1.51664
Step 2850: loss = 1.49157
Step 2855: loss = 1.35794
Step 2860: loss = 1.71881
Step 2865: loss = 1.43679
Step 2870: loss = 1.29189
Step 2875: loss = 1.62231
Step 2880: loss = 1.55383
Step 2885: loss = 1.47580
Step 2890: loss = 1.60280
Step 2895: loss = 1.28276
Step 2900: loss = 1.54772
Step 2905: loss = 1.24662
Step 2910: loss = 1.64888
Step 2915: loss = 1.35576
Step 2920: loss = 1.81344
Step 2925: loss = 1.71072
Step 2930: loss = 1.56075
Step 2935: loss = 1.43265
Step 2940: loss = 1.29520
Step 2945: loss = 1.65535
Step 2950: loss = 1.66824
Step 2955: loss = 1.73767
Step 2960: loss = 1.45627
Step 2965: loss = 1.76593
Step 2970: loss = 1.66139
Step 2975: loss = 1.60218
Step 2980: loss = 1.54182
Step 2985: loss = 1.63551
Step 2990: loss = 1.78641
Step 2995: loss = 1.12751
Step 3000: loss = 1.42879
Training Data Eval:
  Num examples: 50000, Num correct: 22094, Precision @ 1: 0.4419
('Testing Data Eval: EPOCH->', 4)
  Num examples: 10000, Num correct: 4086, Precision @ 1: 0.4086
Step 3005: loss = 1.74968
Step 3010: loss = 1.76640
Step 3015: loss = 1.72146
Step 3020: loss = 1.46452
Step 3025: loss = 1.39514
Step 3030: loss = 1.64368
Step 3035: loss = 1.58658
Step 3040: loss = 1.43736
Step 3045: loss = 1.36486
Step 3050: loss = 1.31315
Step 3055: loss = 1.30213
Step 3060: loss = 1.41635
Step 3065: loss = 1.80467
Step 3070: loss = 1.56733
Step 3075: loss = 1.76691
Step 3080: loss = 1.30781
Step 3085: loss = 1.51488
Step 3090: loss = 1.91790
Step 3095: loss = 1.47584
Step 3100: loss = 1.68088
Step 3105: loss = 1.64266
Step 3110: loss = 1.43131
Step 3115: loss = 1.67975
Step 3120: loss = 1.68576
Step 3125: loss = 1.67665
Step 3130: loss = 1.51472
Step 3135: loss = 1.72101
Step 3140: loss = 1.69383
Step 3145: loss = 1.46917
Step 3150: loss = 1.44115
Step 3155: loss = 1.62139
Step 3160: loss = 1.71284
Step 3165: loss = 1.32673
Step 3170: loss = 1.46214
Step 3175: loss = 1.73157
Step 3180: loss = 1.33222
Step 3185: loss = 1.52849
Step 3190: loss = 1.41043
Step 3195: loss = 1.60240
Step 3200: loss = 1.30601
Step 3205: loss = 1.26685
Step 3210: loss = 1.56249
Step 3215: loss = 1.26440
Step 3220: loss = 1.39338
Step 3225: loss = 1.50464
Step 3230: loss = 1.43362
Step 3235: loss = 1.77974
Step 3240: loss = 1.58539
Step 3245: loss = 1.40397
Step 3250: loss = 1.39494
Step 3255: loss = 1.39237
Step 3260: loss = 1.41081
Step 3265: loss = 1.62960
Step 3270: loss = 1.48864
Step 3275: loss = 1.52824
Step 3280: loss = 1.39884
Step 3285: loss = 1.49460
Step 3290: loss = 1.65206
Step 3295: loss = 1.57663
Step 3300: loss = 1.84810
Step 3305: loss = 1.50663
Step 3310: loss = 1.57036
Step 3315: loss = 1.24851
Step 3320: loss = 1.53829
Step 3325: loss = 1.68236
Step 3330: loss = 1.44659
Step 3335: loss = 2.01813
Step 3340: loss = 1.31190
Step 3345: loss = 1.44225
Step 3350: loss = 1.49660
Step 3355: loss = 1.51396
Step 3360: loss = 1.41246
Step 3365: loss = 1.67930
Step 3370: loss = 1.50110
Step 3375: loss = 1.31935
Step 3380: loss = 1.54320
Step 3385: loss = 1.47934
Step 3390: loss = 1.59420
Step 3395: loss = 1.50858
Step 3400: loss = 1.59268
Step 3405: loss = 1.52717
Step 3410: loss = 1.55965
Step 3415: loss = 1.39376
Step 3420: loss = 1.50241
Step 3425: loss = 1.45651
Step 3430: loss = 1.62592
Step 3435: loss = 1.39768
Step 3440: loss = 1.48335
Step 3445: loss = 1.48503
Step 3450: loss = 1.39220
Step 3455: loss = 1.33016
Step 3460: loss = 1.39527
Step 3465: loss = 1.47146
Step 3470: loss = 1.33994
Step 3475: loss = 1.52141
Step 3480: loss = 1.39951
Step 3485: loss = 1.26167
Step 3490: loss = 1.61740
Step 3495: loss = 1.53797
Step 3500: loss = 1.70528
Step 3505: loss = 1.54832
Step 3510: loss = 1.45659
Step 3515: loss = 1.34257
Step 3520: loss = 1.78482
Step 3525: loss = 1.34650
Step 3530: loss = 1.46426
Step 3535: loss = 1.54333
Step 3540: loss = 1.31669
Step 3545: loss = 1.29496
Step 3550: loss = 1.67188
Step 3555: loss = 1.20012
Step 3560: loss = 1.37350
Step 3565: loss = 1.54000
Step 3570: loss = 1.28386
Step 3575: loss = 1.57062
Step 3580: loss = 1.72048
Step 3585: loss = 1.25503
Step 3590: loss = 1.49625
Step 3595: loss = 1.43936
Step 3600: loss = 1.67671
Step 3605: loss = 1.34426
Step 3610: loss = 1.43975
Step 3615: loss = 1.38723
Step 3620: loss = 1.42291
Step 3625: loss = 1.67554
Step 3630: loss = 1.68600
Step 3635: loss = 1.57937
Step 3640: loss = 1.61354
Step 3645: loss = 1.49594
Step 3650: loss = 1.36486
Step 3655: loss = 1.55316
Step 3660: loss = 1.42554
Step 3665: loss = 1.48837
Step 3670: loss = 1.46427
Step 3675: loss = 1.79164
Step 3680: loss = 1.43257
Step 3685: loss = 1.39615
Step 3690: loss = 1.64061
Step 3695: loss = 1.41379
Step 3700: loss = 1.34418
Step 3705: loss = 1.37053
Step 3710: loss = 1.59826
Step 3715: loss = 1.15632
Step 3720: loss = 1.39843
Step 3725: loss = 1.49772
Step 3730: loss = 1.51900
Step 3735: loss = 1.53762
Step 3740: loss = 1.35366
Step 3745: loss = 1.43199
Step 3750: loss = 1.48033
Step 3755: loss = 1.61795
Step 3760: loss = 1.65845
Step 3765: loss = 1.41804
Step 3770: loss = 1.62722
Step 3775: loss = 1.81259
Step 3780: loss = 1.55277
Step 3785: loss = 1.40033
Step 3790: loss = 1.51457
Step 3795: loss = 1.57256
Step 3800: loss = 1.39883
Step 3805: loss = 1.39184
Step 3810: loss = 1.77290
Step 3815: loss = 1.41728
Step 3820: loss = 1.68779
Step 3825: loss = 1.40044
Step 3830: loss = 1.45399
Step 3835: loss = 1.36982
Step 3840: loss = 1.66165
Step 3845: loss = 1.35987
Step 3850: loss = 1.62936
Step 3855: loss = 1.75335
Step 3860: loss = 1.40917
Step 3865: loss = 1.55400
Step 3870: loss = 1.48495
Step 3875: loss = 1.24682
Step 3880: loss = 1.30624
Step 3885: loss = 1.56915
Step 3890: loss = 1.29049
Step 3895: loss = 1.41685
Step 3900: loss = 1.51446
Step 3905: loss = 1.53069
Step 3910: loss = 1.53103
Step 3915: loss = 1.51315
Step 3920: loss = 1.37061
Step 3925: loss = 1.96983
Step 3930: loss = 1.40733
Step 3935: loss = 1.46912
Step 3940: loss = 1.33680
Step 3945: loss = 1.44648
Step 3950: loss = 1.51321
Step 3955: loss = 1.25436
Step 3960: loss = 1.28716
Step 3965: loss = 1.35830
Step 3970: loss = 1.75978
Step 3975: loss = 1.39089
Step 3980: loss = 1.45913
Step 3985: loss = 1.27799
Step 3990: loss = 1.55222
Step 3995: loss = 1.50614
Step 4000: loss = 1.52851
Training Data Eval:
  Num examples: 50000, Num correct: 23355, Precision @ 1: 0.4671
('Testing Data Eval: EPOCH->', 5)
  Num examples: 10000, Num correct: 4303, Precision @ 1: 0.4303
Step 4005: loss = 1.47810
Step 4010: loss = 1.48547
Step 4015: loss = 1.39907
Step 4020: loss = 1.77160
Step 4025: loss = 1.27341
Step 4030: loss = 1.55654
Step 4035: loss = 1.72572
Step 4040: loss = 1.93481
Step 4045: loss = 1.61475
Step 4050: loss = 1.65112
Step 4055: loss = 1.36443
Step 4060: loss = 1.45265
Step 4065: loss = 1.67453
Step 4070: loss = 1.37629
Step 4075: loss = 1.52559
Step 4080: loss = 1.56612
Step 4085: loss = 1.64926
Step 4090: loss = 1.37915
Step 4095: loss = 1.37140
Step 4100: loss = 1.71519
Step 4105: loss = 1.52775
Step 4110: loss = 1.56167
Step 4115: loss = 1.64903
Step 4120: loss = 1.85043
Step 4125: loss = 1.36377
Step 4130: loss = 1.76007
Step 4135: loss = 1.54159
Step 4140: loss = 1.44601
Step 4145: loss = 1.31957
Step 4150: loss = 1.55326
Step 4155: loss = 1.28105
Step 4160: loss = 1.54831
Step 4165: loss = 1.36326
Step 4170: loss = 1.53543
Step 4175: loss = 1.61910
Step 4180: loss = 1.35841
Step 4185: loss = 1.30497
Step 4190: loss = 1.42147
Step 4195: loss = 1.38113
Step 4200: loss = 1.35445
Step 4205: loss = 1.45891
Step 4210: loss = 1.39329
Step 4215: loss = 1.30829
Step 4220: loss = 1.60934
Step 4225: loss = 1.28320
Step 4230: loss = 1.24728
Step 4235: loss = 1.71681
Step 4240: loss = 1.40397
Step 4245: loss = 1.59825
Step 4250: loss = 1.39603
Step 4255: loss = 1.35410
Step 4260: loss = 1.34946
Step 4265: loss = 1.27670
Step 4270: loss = 1.42929
Step 4275: loss = 1.16493
Step 4280: loss = 1.47548
Step 4285: loss = 2.02498
Step 4290: loss = 1.35316
Step 4295: loss = 1.37926
Step 4300: loss = 1.35542
Step 4305: loss = 1.55808
Step 4310: loss = 1.42566
Step 4315: loss = 1.25689
Step 4320: loss = 1.34289
Step 4325: loss = 1.26541
Step 4330: loss = 1.48786
Step 4335: loss = 1.26632
Step 4340: loss = 1.34331
Step 4345: loss = 1.43359
Step 4350: loss = 1.71253
Step 4355: loss = 1.27979
Step 4360: loss = 1.44233
Step 4365: loss = 1.51687
Step 4370: loss = 1.25589
Step 4375: loss = 1.17582
Step 4380: loss = 1.62078
Step 4385: loss = 1.52306
Step 4390: loss = 1.43320
Step 4395: loss = 1.37733
Step 4400: loss = 1.56656
Step 4405: loss = 1.14961
Step 4410: loss = 1.50752
Step 4415: loss = 1.44343
Step 4420: loss = 1.32493
Step 4425: loss = 1.38680
Step 4430: loss = 1.41117
Step 4435: loss = 1.22628
Step 4440: loss = 1.33174
Step 4445: loss = 1.43416
Step 4450: loss = 1.19186
Step 4455: loss = 1.46625
Step 4460: loss = 1.30753
Step 4465: loss = 1.21023
Step 4470: loss = 1.22010
Step 4475: loss = 1.22656
Step 4480: loss = 1.27057
Step 4485: loss = 1.81186
Step 4490: loss = 1.23533
Step 4495: loss = 1.47669
Step 4500: loss = 1.17946
Step 4505: loss = 1.20640
Step 4510: loss = 1.45014
Step 4515: loss = 1.35436
Step 4520: loss = 1.44487
Step 4525: loss = 1.50205
Step 4530: loss = 1.21849
Step 4535: loss = 1.36397
Step 4540: loss = 1.37350
Step 4545: loss = 1.41006
Step 4550: loss = 1.52526
Step 4555: loss = 1.33243
Step 4560: loss = 1.30184
